"year","month","T_ID","VS_T_ID"
2020,5,"HH","SK"
2020,5,"LT","KT"
2020,5,"NC","SS"
2020,5,"OB","LG"
2020,5,"WO","HT"
2020,5,"HH","SK"
2020,5,"LT","KT"
2020,5,"NC","SS"
2020,5,"OB","LG"
2020,5,"WO","HT"
2020,5,"HH","SK"
2020,5,"LT","KT"
2020,5,"NC","SS"
2020,5,"OB","LG"
2020,5,"WO","HT"
2020,5,"HH","WO"
2020,5,"HT","SS"
2020,5,"KT","OB"
2020,5,"LG","NC"
2020,5,"SK","LT"
2020,5,"HH","WO"
2020,5,"HT","SS"
2020,5,"HH","WO"
2020,5,"HT","SS"
2020,5,"KT","OB"
2020,5,"LG","NC"
2020,5,"SK","LT"
2020,5,"HT","HH"
2020,5,"KT","NC"
2020,5,"OB","LT"
2020,5,"SK","LG"
2020,5,"SS","WO"
2020,5,"HT","HH"
2020,5,"KT","NC"
2020,5,"OB","LT"
2020,5,"SK","LG"
2020,5,"SS","WO"
2020,5,"HT","HH"
2020,5,"KT","NC"
2020,5,"OB","LT"
2020,5,"SK","LG"
2020,5,"SS","WO"
2020,5,"LT","HH"
2020,5,"NC","SK"
2020,5,"OB","HT"
2020,5,"SS","KT"
2020,5,"LT","HH"
2020,5,"NC","SK"
2020,5,"OB","HT"
2020,5,"SS","KT"
2020,5,"WO","LG"
2020,5,"WO","LG"
2020,5,"LT","HH"
2020,5,"NC","SK"
2020,5,"OB","HT"
2020,5,"SS","KT"
2020,5,"WO","LG"
2020,5,"HH","KT"
2020,5,"LG","SS"
2020,5,"LT","HT"
2020,5,"NC","OB"
2020,5,"SK","WO"
2020,5,"HH","KT"
2020,5,"LG","SS"
2020,5,"LT","HT"
2020,5,"NC","OB"
2020,5,"SK","WO"
2020,5,"HH","KT"
2020,5,"LG","SS"
2020,5,"LT","HT"
2020,5,"NC","OB"
2020,5,"SK","WO"
2020,5,"HH","NC"
2020,5,"HT","SK"
2020,5,"KT","LG"
2020,5,"OB","SS"
2020,5,"WO","LT"
2020,5,"HH","NC"
2020,5,"HT","SK"
2020,5,"KT","LG"
2020,5,"OB","SS"
2020,5,"WO","LT"
2020,5,"HH","NC"
2020,5,"HT","SK"
2020,5,"KT","LG"
2020,5,"OB","SS"
2020,5,"WO","LT"
2020,5,"HT","KT"
2020,5,"LG","HH"
2020,5,"SK","OB"
2020,5,"SS","LT"
2020,5,"WO","NC"
2020,5,"HT","KT"
2020,5,"LG","HH"
2020,5,"SK","OB"
2020,5,"SS","LT"
2020,5,"WO","NC"
2020,5,"HT","KT"
2020,5,"LG","HH"
2020,5,"SK","OB"
2020,5,"SS","LT"
2020,5,"WO","NC"
2020,5,"HH","SK"
2020,5,"KT","WO"
2020,5,"LG","HT"
2020,5,"LT","OB"
2020,5,"NC","SS"
2020,5,"HH","SK"
2020,5,"KT","WO"
2020,5,"LG","HT"
2020,5,"LT","OB"
2020,5,"NC","SS"
2020,5,"HH","SK"
2020,5,"KT","WO"
2020,5,"LG","HT"
2020,5,"LT","OB"
2020,5,"NC","SS"
2020,5,"SK","HH"
2020,5,"KT","LT"
2020,5,"SS","NC"
2020,5,"LG","OB"
2020,5,"HT","WO"
2020,5,"SK","HH"
2020,5,"KT","LT"
2020,5,"SS","NC"
2020,5,"LG","OB"
2020,5,"HT","WO"
2020,5,"SK","HH"
2020,5,"KT","LT"
2020,5,"SS","NC"
2020,5,"LG","OB"
2020,5,"HT","WO"
2020,5,"WO","HH"
2020,5,"SS","HT"
2020,5,"OB","KT"
2020,5,"NC","LG"
2020,5,"LT","SK"
2020,5,"WO","HH"
2020,5,"SS","HT"
2020,5,"WO","HH"
2020,5,"SS","HT"
2020,5,"OB","KT"
2020,5,"NC","LG"
2020,5,"LT","SK"
2020,5,"HH","HT"
2020,5,"NC","KT"
2020,5,"LT","OB"
2020,5,"LG","SK"
2020,5,"WO","SS"
2020,5,"HH","HT"
2020,5,"NC","KT"
2020,5,"LT","OB"
2020,5,"LG","SK"
2020,5,"WO","SS"
2020,5,"HH","HT"
2020,5,"NC","KT"
2020,5,"LT","OB"
2020,5,"LG","SK"
2020,5,"WO","SS"
2020,5,"HH","LT"
2020,5,"SK","NC"
2020,5,"HT","OB"
2020,5,"KT","SS"
2020,5,"HH","LT"
2020,5,"SK","NC"
2020,5,"HT","OB"
2020,5,"KT","SS"
2020,5,"LG","WO"
2020,5,"LG","WO"
2020,5,"HH","LT"
2020,5,"SK","NC"
2020,5,"HT","OB"
2020,5,"KT","SS"
2020,5,"LG","WO"
2020,5,"KT","HH"
2020,5,"SS","LG"
2020,5,"HT","LT"
2020,5,"OB","NC"
2020,5,"WO","SK"
2020,5,"KT","HH"
2020,5,"SS","LG"
2020,5,"HT","LT"
2020,5,"OB","NC"
2020,5,"WO","SK"
2020,5,"KT","HH"
2020,5,"SS","LG"
2020,5,"HT","LT"
2020,5,"OB","NC"
2020,5,"WO","SK"
2020,5,"NC","HH"
2020,5,"SK","HT"
2020,5,"LG","KT"
2020,5,"SS","OB"
2020,5,"LT","WO"
2020,5,"NC","HH"
2020,5,"SK","HT"
2020,5,"LG","KT"
2020,5,"SS","OB"
2020,5,"LT","WO"
2020,5,"NC","HH"
2020,5,"SK","HT"
2020,5,"LG","KT"
2020,5,"SS","OB"
2020,5,"LT","WO"
2020,5,"KT","HT"
2020,5,"HH","LG"
2020,5,"OB","SK"
2020,5,"LT","SS"
2020,5,"NC","WO"
2020,5,"KT","HT"
2020,5,"HH","LG"
2020,5,"OB","SK"
2020,5,"LT","SS"
2020,5,"NC","WO"
2020,5,"KT","HT"
2020,5,"HH","LG"
2020,5,"OB","SK"
2020,5,"LT","SS"
2020,5,"NC","WO"
2020,5,"SK","HH"
2020,5,"WO","KT"
2020,5,"HT","LG"
2020,5,"OB","LT"
2020,5,"SS","NC"
2020,5,"SK","HH"
2020,5,"WO","KT"
2020,5,"HT","LG"
2020,5,"OB","LT"
2020,5,"SS","NC"
2020,5,"SK","HH"
2020,5,"WO","KT"
2020,5,"HT","LG"
2020,5,"OB","LT"
2020,5,"SS","NC"
2020,6,"LT","HT"
2020,6,"OB","KT"
2020,6,"SK","NC"
2020,6,"SS","LG"
2020,6,"WO","HH"
2020,6,"LT","HT"
2020,6,"OB","KT"
2020,6,"SK","NC"
2020,6,"SS","LG"
2020,6,"WO","HH"
2020,6,"LT","HT"
2020,6,"OB","KT"
2020,6,"SK","NC"
2020,6,"SS","LG"
2020,6,"WO","HH"
2020,6,"HT","OB"
2020,6,"KT","LT"
2020,6,"LG","WO"
2020,6,"NC","HH"
2020,6,"SS","SK"
2020,6,"HT","OB"
2020,6,"KT","LT"
2020,6,"LG","WO"
2020,6,"NC","HH"
2020,6,"SS","SK"
2020,6,"HT","OB"
2020,6,"KT","LT"
2020,6,"LG","WO"
2020,6,"NC","HH"
2020,6,"SS","SK"
2020,6,"HH","LT"
2020,6,"HT","KT"
2020,6,"OB","NC"
2020,6,"SK","LG"
2020,6,"WO","SS"
2020,6,"HH","LT"
2020,6,"HT","KT"
2020,6,"OB","NC"
2020,6,"WO","SS"
2020,6,"HH","LT"
2020,6,"HT","KT"
2020,6,"OB","NC"
2020,6,"SK","LG"
2020,6,"SK","LG"
2020,6,"WO","SS"
2020,6,"HT","SK"
2020,6,"LT","LG"
2020,6,"OB","HH"
2020,6,"WO","NC"
2020,6,"HT","SK"
2020,6,"KT","SS"
2020,6,"KT","SS"
2020,6,"LT","LG"
2020,6,"OB","HH"
2020,6,"WO","NC"
2020,6,"HT","SK"
2020,6,"KT","SS"
2020,6,"LT","LG"
2020,6,"OB","HH"
2020,6,"WO","NC"
2020,6,"KT","SK"
2020,6,"LG","HH"
2020,6,"LT","WO"
2020,6,"NC","HT"
2020,6,"SS","OB"
2020,6,"KT","SK"
2020,6,"LG","HH"
2020,6,"LT","WO"
2020,6,"NC","HT"
2020,6,"SS","OB"
2020,6,"KT","SK"
2020,6,"LG","HH"
2020,6,"LT","WO"
2020,6,"SS","OB"
2020,6,"HH","NC"
2020,6,"LT","KT"
2020,6,"OB","LG"
2020,6,"SK","WO"
2020,6,"SS","HT"
2020,6,"HH","NC"
2020,6,"LT","KT"
2020,6,"OB","LG"
2020,6,"SK","WO"
2020,6,"SS","HT"
2020,6,"HH","NC"
2020,6,"LT","KT"
2020,6,"OB","LG"
2020,6,"SK","WO"
2020,6,"SS","HT"
2020,6,"HH","SS"
2020,6,"HT","LT"
2020,6,"NC","KT"
2020,6,"OB","SK"
2020,6,"WO","LG"
2020,6,"HH","SS"
2020,6,"HH","SS"
2020,6,"NC","KT"
2020,6,"NC","KT"
2020,6,"OB","SK"
2020,6,"OB","SK"
2020,6,"WO","LG"
2020,6,"WO","LG"
2020,6,"HT","WO"
2020,6,"KT","HH"
2020,6,"LG","SK"
2020,6,"NC","OB"
2020,6,"SS","LT"
2020,6,"HT","WO"
2020,6,"KT","HH"
2020,6,"LG","SK"
2020,6,"NC","OB"
2020,6,"SS","LT"
2020,6,"HT","WO"
2020,6,"KT","HH"
2020,6,"LG","SK"
2020,6,"NC","OB"
2020,6,"SS","LT"
2020,6,"KT","LG"
2020,6,"LT","NC"
2020,6,"OB","WO"
2020,6,"SK","SS"
2020,6,"HT","LT"
2020,6,"KT","OB"
2020,6,"NC","SK"
2020,6,"LG","SS"
2020,6,"HH","WO"
2020,6,"HT","LT"
2020,6,"KT","OB"
2020,6,"NC","SK"
2020,6,"LG","SS"
2020,6,"HH","WO"
2020,6,"HT","LT"
2020,6,"KT","OB"
2020,6,"NC","SK"
2020,6,"LG","SS"
2020,6,"HH","WO"
2020,6,"OB","HT"
2020,6,"LT","KT"
2020,6,"WO","LG"
2020,6,"HH","NC"
2020,6,"SK","SS"
2020,6,"OB","HT"
2020,6,"LT","KT"
2020,6,"WO","LG"
2020,6,"HH","NC"
2020,6,"SK","SS"
2020,6,"OB","HT"
2020,6,"LT","KT"
2020,6,"WO","LG"
2020,6,"HH","NC"
2020,6,"SK","SS"
2020,6,"LT","HH"
2020,6,"KT","HT"
2020,6,"NC","OB"
2020,6,"LG","SK"
2020,6,"SS","WO"
2020,6,"LT","HH"
2020,6,"KT","HT"
2020,6,"NC","OB"
2020,6,"SS","WO"
2020,6,"LT","HH"
2020,6,"KT","HT"
2020,6,"NC","OB"
2020,6,"LG","SK"
2020,6,"LG","SK"
2020,6,"SS","WO"
2020,6,"SK","HT"
2020,6,"LG","LT"
2020,6,"HH","OB"
2020,6,"NC","WO"
2020,6,"SK","HT"
2020,6,"SS","KT"
2020,6,"SS","KT"
2020,6,"LG","LT"
2020,6,"HH","OB"
2020,6,"NC","WO"
2020,6,"SK","HT"
2020,6,"SS","KT"
2020,6,"LG","LT"
2020,6,"HH","OB"
2020,6,"NC","WO"
2020,6,"SK","KT"
2020,6,"HH","LG"
2020,6,"WO","LT"
2020,6,"HT","NC"
2020,6,"OB","SS"
2020,6,"SK","KT"
2020,6,"HH","LG"
2020,6,"WO","LT"
2020,6,"HT","NC"
2020,6,"OB","SS"
2020,6,"SK","KT"
2020,6,"HH","LG"
2020,6,"WO","LT"
2020,6,"OB","SS"
2020,6,"NC","HH"
2020,6,"KT","LT"
2020,6,"LG","OB"
2020,6,"WO","SK"
2020,6,"HT","SS"
2020,6,"NC","HH"
2020,6,"KT","LT"
2020,6,"LG","OB"
2020,6,"WO","SK"
2020,6,"HT","SS"
2020,6,"NC","HH"
2020,6,"KT","LT"
2020,6,"LG","OB"
2020,6,"WO","SK"
2020,6,"HT","SS"
2020,6,"SS","HH"
2020,6,"LT","HT"
2020,6,"KT","NC"
2020,6,"SK","OB"
2020,6,"LG","WO"
2020,6,"SS","HH"
2020,6,"SS","HH"
2020,6,"KT","NC"
2020,6,"KT","NC"
2020,6,"SK","OB"
2020,6,"SK","OB"
2020,6,"LG","WO"
2020,6,"LG","WO"
2020,6,"WO","HT"
2020,6,"HH","KT"
2020,6,"SK","LG"
2020,6,"OB","NC"
2020,6,"LT","SS"
2020,6,"WO","HT"
2020,6,"HH","KT"
2020,6,"SK","LG"
2020,6,"OB","NC"
2020,6,"LT","SS"
2020,6,"WO","HT"
2020,6,"HH","KT"
2020,6,"SK","LG"
2020,6,"OB","NC"
2020,6,"LT","SS"
2020,6,"LG","KT"
2020,6,"NC","LT"
2020,6,"WO","OB"
2020,6,"SS","SK"
2020,7,"HH","HT"
2020,7,"KT","LG"
2020,7,"LT","NC"
2020,7,"OB","WO"
2020,7,"SK","SS"
2020,7,"HH","HT"
2020,7,"KT","LG"
2020,7,"LT","NC"
2020,7,"OB","WO"
2020,7,"SK","SS"
2020,7,"HH","OB"
2020,7,"HT","NC"
2020,7,"LG","SS"
2020,7,"SK","LT"
2020,7,"WO","KT"
2020,7,"HH","OB"
2020,7,"HT","NC"
2020,7,"LG","SS"
2020,7,"SK","LT"
2020,7,"WO","KT"
2020,7,"HH","OB"
2020,7,"HT","NC"
2020,7,"LG","SS"
2020,7,"SK","LT"
2020,7,"WO","KT"
2020,7,"KT","HT"
2020,7,"LG","OB"
2020,7,"LT","HH"
2020,7,"NC","SK"
2020,7,"SS","WO"
2020,7,"KT","HT"
2020,7,"LG","OB"
2020,7,"LT","HH"
2020,7,"NC","SK"
2020,7,"SS","WO"
2020,7,"KT","HT"
2020,7,"LG","OB"
2020,7,"LT","HH"
2020,7,"NC","SK"
2020,7,"SS","WO"
2020,7,"NC","LG"
2020,7,"OB","LT"
2020,7,"SK","HH"
2020,7,"SS","KT"
2020,7,"WO","HT"
2020,7,"NC","LG"
2020,7,"OB","LT"
2020,7,"SK","HH"
2020,7,"SS","KT"
2020,7,"WO","HT"
2020,7,"SK","HH"
2020,7,"WO","HT"
2020,7,"HH","KT"
2020,7,"HT","SS"
2020,7,"LG","LT"
2020,7,"NC","WO"
2020,7,"SK","OB"
2020,7,"HH","KT"
2020,7,"HT","SS"
2020,7,"LG","LT"
2020,7,"NC","WO"
2020,7,"SK","OB"
2020,7,"HH","KT"
2020,7,"HT","SS"
2020,7,"LG","LT"
2020,7,"NC","WO"
2020,7,"SK","OB"
2020,7,"HH","LG"
2020,7,"KT","NC"
2020,7,"LT","SS"
2020,7,"OB","HT"
2020,7,"WO","SK"
2020,7,"HH","LG"
2020,7,"KT","NC"
2020,7,"LT","SS"
2020,7,"OB","HT"
2020,7,"WO","SK"
2020,7,"HH","LG"
2020,7,"KT","NC"
2020,7,"LT","SS"
2020,7,"OB","HT"
2020,7,"WO","SK"
2020,7,"HT","HH"
2020,7,"LG","KT"
2020,7,"NC","LT"
2020,7,"WO","OB"
2020,7,"SS","SK"
2020,7,"HT","HH"
2020,7,"LG","KT"
2020,7,"NC","LT"
2020,7,"WO","OB"
2020,7,"SS","SK"
2020,7,"OB","HH"
2020,7,"NC","HT"
2020,7,"SS","LG"
2020,7,"LT","SK"
2020,7,"KT","WO"
2020,7,"OB","HH"
2020,7,"NC","HT"
2020,7,"SS","LG"
2020,7,"LT","SK"
2020,7,"KT","WO"
2020,7,"OB","HH"
2020,7,"NC","HT"
2020,7,"SS","LG"
2020,7,"LT","SK"
2020,7,"KT","WO"
2020,7,"HT","KT"
2020,7,"OB","LG"
2020,7,"HH","LT"
2020,7,"SK","NC"
2020,7,"WO","SS"
2020,7,"HT","KT"
2020,7,"OB","LG"
2020,7,"HH","LT"
2020,7,"SK","NC"
2020,7,"WO","SS"
2020,7,"HT","KT"
2020,7,"OB","LG"
2020,7,"HH","LT"
2020,7,"SK","NC"
2020,7,"WO","SS"
2020,7,"LG","NC"
2020,7,"LT","OB"
2020,7,"HH","SK"
2020,7,"KT","SS"
2020,7,"HT","WO"
2020,7,"LG","NC"
2020,7,"LT","OB"
2020,7,"HH","SK"
2020,7,"KT","SS"
2020,7,"HT","WO"
2020,7,"HH","SK"
2020,7,"HT","WO"
2020,7,"KT","HH"
2020,7,"SS","HT"
2020,7,"LT","LG"
2020,7,"WO","NC"
2020,7,"OB","SK"
2020,7,"KT","HH"
2020,7,"SS","HT"
2020,7,"LT","LG"
2020,7,"WO","NC"
2020,7,"OB","SK"
2020,7,"KT","HH"
2020,7,"SS","HT"
2020,7,"LT","LG"
2020,7,"WO","NC"
2020,7,"OB","SK"
2020,7,"LG","HH"
2020,7,"NC","KT"
2020,7,"SS","LT"
2020,7,"HT","OB"
2020,7,"SK","WO"
2020,7,"LG","HH"
2020,7,"NC","KT"
2020,7,"SS","LT"
2020,7,"HT","OB"
2020,7,"SK","WO"
2020,7,"LG","HH"
2020,7,"NC","KT"
2020,7,"SS","LT"
2020,7,"HT","OB"
2020,7,"SK","WO"
