"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","BK","PA","R","ER","SF"
2020,7,65057,"KT",3,0,0,0,0,0,0,0,0,3,0,0,0
2020,7,63961,"HH",2,0,0,0,0,2,0,1,0,4,1,0,0
2020,7,72447,"OB",1,1,0,1,0,0,0,0,0,1,1,1,0
2020,7,64805,"OB",2,1,0,0,0,0,0,0,0,2,0,0,0
2020,7,61145,"LG",1,1,0,0,0,1,0,0,0,2,0,0,0
2020,7,79617,"LG",5,1,0,0,0,0,0,2,0,5,0,0,0
2020,7,73738,"HH",6,1,0,0,0,0,2,2,0,8,0,0,0
2020,7,68200,"OB",9,2,1,0,0,1,0,0,0,10,1,1,0
2020,7,66018,"WO",5,2,0,0,0,1,1,0,0,7,1,1,0
2020,7,69328,"WO",8,2,0,0,0,3,0,1,0,11,1,1,0
2020,7,66801,"SK",4,2,0,0,0,1,0,1,0,5,1,1,0
2020,7,50157,"LG",9,2,1,0,0,0,0,2,0,9,1,1,0
2020,7,67164,"LG",6,2,0,0,1,2,1,0,0,9,2,2,0
2020,7,68902,"NC",9,2,0,0,1,0,0,2,0,9,1,1,0
2020,7,78352,"NC",4,2,1,0,0,2,0,1,0,7,3,3,1
2020,7,68043,"KT",14,2,0,0,0,1,0,3,0,15,0,0,0
2020,7,69041,"KT",10,2,0,0,1,2,0,2,0,12,2,2,0
2020,7,99445,"SS",5,2,0,0,1,0,0,1,0,5,2,2,0
2020,7,62611,"HH",5,2,0,0,0,1,0,0,0,6,1,1,0
2020,7,76225,"LT",8,2,1,0,0,0,0,1,0,8,1,1,0
2020,7,78536,"LT",17,2,0,0,0,4,0,7,0,21,2,2,0
2020,7,67259,"OB",6,3,0,0,2,1,0,0,0,7,4,4,0
2020,7,69360,"WO",8,3,1,0,0,1,1,1,0,10,3,3,0
2020,7,64896,"SK",7,3,0,0,1,0,0,0,0,7,2,2,0
2020,7,73801,"LG",7,3,0,0,0,3,0,2,0,10,1,1,0
2020,7,69134,"LG",17,3,0,0,1,1,1,4,0,19,2,2,0
2020,7,65643,"NC",11,3,0,1,1,2,1,3,0,14,3,3,0
2020,7,63959,"NC",24,3,0,0,0,1,1,2,0,26,3,3,0
2020,7,65496,"SS",18,3,0,0,0,1,0,4,0,19,1,1,0
2020,7,64596,"LT",13,3,0,0,0,5,0,3,0,18,3,3,0
2020,7,67246,"OB",8,4,1,0,0,1,0,2,0,9,1,1,0
2020,7,50360,"WO",14,4,0,1,0,1,0,5,0,15,2,2,0
2020,7,62937,"WO",7,4,1,0,1,0,0,0,0,7,3,3,0
2020,7,79847,"SK",8,4,1,0,0,3,0,0,0,11,2,2,0
2020,7,65343,"SK",14,4,0,0,1,1,0,4,0,15,2,2,0
2020,7,78819,"LG",7,4,1,0,1,0,0,0,0,8,3,3,1
2020,7,65639,"NC",19,4,2,1,0,4,1,4,0,24,2,2,0
2020,7,77563,"KT",16,4,1,0,1,5,0,1,0,22,5,5,1
2020,7,64047,"KT",30,4,1,0,0,4,1,5,0,36,3,3,1
2020,7,66039,"KT",4,4,1,0,0,1,1,0,0,6,4,4,0
2020,7,66663,"HT",15,4,0,0,1,2,1,2,0,18,2,2,0
2020,7,62920,"SS",23,4,0,0,1,5,0,6,0,30,4,4,2
2020,7,63492,"SS",6,4,1,0,2,1,0,1,0,7,5,5,0
2020,7,61156,"HH",25,4,1,0,0,2,1,8,0,28,0,0,0
2020,7,79293,"LT",16,4,2,0,0,4,0,2,0,20,1,1,0
2020,7,62595,"LT",8,4,1,0,1,2,0,1,0,11,4,4,1
2020,7,62951,"OB",31,5,1,0,0,4,1,6,0,37,3,3,1
2020,7,76430,"WO",33,5,2,0,0,3,0,5,0,37,2,0,1
2020,7,66305,"WO",10,5,0,0,0,3,0,1,0,13,5,5,0
2020,7,64893,"SK",21,5,1,0,0,4,0,6,0,27,1,1,2
2020,7,61295,"NC",30,5,1,0,1,4,1,9,0,36,5,5,1
2020,7,63991,"NC",30,5,0,0,0,2,2,3,0,35,1,1,1
2020,7,66609,"HT",30,5,0,0,1,6,0,13,0,37,4,3,1
2020,7,77927,"SS",16,5,0,0,1,1,0,0,0,17,4,4,0
2020,7,67737,"HH",6,5,0,0,1,2,0,0,0,9,4,4,1
2020,7,64554,"HH",28,5,0,0,0,11,0,5,0,40,3,2,1
2020,7,77263,"OB",16,6,1,0,0,4,1,1,0,21,5,3,0
2020,7,75867,"NC",23,6,1,0,1,1,0,7,0,24,2,2,0
2020,7,75258,"KT",11,6,1,0,0,1,2,2,0,15,4,4,1
2020,7,75342,"KT",41,6,1,0,0,1,0,4,0,42,0,0,0
2020,7,78247,"HT",34,6,2,0,0,15,1,13,0,51,3,3,1
2020,7,77591,"LT",21,6,1,1,0,3,0,9,0,24,4,4,0
2020,7,50556,"LT",17,6,1,0,0,0,0,2,0,17,2,2,0
2020,7,76329,"OB",28,7,0,0,0,0,2,7,0,32,4,4,2
2020,7,61962,"WO",15,7,0,0,1,4,0,3,0,20,4,4,1
2020,7,67313,"WO",36,7,0,0,1,2,0,9,0,38,1,1,0
2020,7,63348,"WO",35,7,3,0,1,1,1,3,0,37,4,4,0
2020,7,61895,"SK",37,7,0,0,1,5,0,10,0,42,3,3,0
2020,7,62056,"SK",27,7,1,0,1,1,1,7,0,29,4,4,0
2020,7,62146,"LG",27,7,2,1,0,2,1,8,0,30,4,4,0
2020,7,68900,"NC",15,7,2,0,0,0,0,3,0,15,3,3,0
2020,7,64995,"NC",29,7,1,0,0,7,0,7,0,36,3,1,0
2020,7,75340,"KT",30,7,1,0,1,5,0,3,0,35,5,5,0
2020,7,69516,"HT",18,7,0,0,1,7,1,0,0,27,3,3,1
2020,7,68403,"SS",38,7,2,0,0,8,0,4,0,49,4,4,3
2020,7,67443,"SS",19,7,1,0,2,4,2,4,0,25,12,12,0
2020,7,50449,"SS",26,7,1,0,0,7,1,6,1,35,8,7,1
2020,7,74857,"HH",34,7,2,0,0,2,2,9,0,39,4,4,1
2020,7,67591,"LT",23,7,1,0,1,2,0,3,0,25,3,3,0
2020,7,63543,"LT",35,7,1,0,1,5,0,13,0,41,3,3,1
2020,7,79545,"LT",17,7,2,0,0,4,0,3,0,23,6,6,2
2020,7,62242,"OB",27,8,0,0,3,1,0,3,0,29,5,5,1
2020,7,68341,"WO",44,8,0,0,1,9,0,15,0,53,8,8,0
2020,7,63342,"WO",35,8,1,0,0,2,0,10,0,38,1,1,1
2020,7,63894,"SK",33,8,2,0,1,13,1,9,0,48,14,11,1
2020,7,75138,"SK",17,8,2,1,2,3,0,4,0,20,5,5,0
2020,7,79140,"LG",28,8,2,0,3,2,0,4,0,31,4,4,1
2020,7,65062,"KT",35,8,0,0,1,1,0,16,0,36,3,3,0
2020,7,76757,"KT",33,8,1,0,1,5,0,7,0,39,5,5,1
2020,7,63638,"HT",36,8,0,0,1,1,0,7,0,38,2,2,1
2020,7,50662,"HT",35,8,2,0,1,2,0,8,0,38,2,2,1
2020,7,60146,"SS",29,8,1,0,1,3,0,10,0,33,3,3,1
2020,7,67421,"SS",29,8,3,0,0,7,2,7,0,41,3,3,3
2020,7,79764,"HH",16,8,1,0,1,2,0,2,0,18,3,3,0
2020,7,60559,"LT",20,8,0,0,2,5,0,2,0,27,7,7,2
2020,7,63248,"OB",32,9,0,0,0,3,0,12,0,35,4,4,0
2020,7,60336,"WO",32,9,1,0,1,10,0,8,0,42,7,7,0
2020,7,69399,"WO",17,9,1,0,0,2,0,0,0,20,7,7,1
2020,7,64051,"WO",33,9,1,0,1,5,0,8,0,38,1,1,0
2020,7,65411,"SK",22,9,1,0,1,2,1,4,0,25,6,6,0
2020,7,64768,"SK",33,9,1,0,1,2,1,4,0,36,6,6,0
2020,7,50126,"LG",43,9,0,0,1,7,2,8,1,52,5,4,0
2020,7,65060,"KT",35,9,2,0,0,5,0,5,0,41,6,6,1
2020,7,62528,"LT",34,9,1,0,3,4,0,9,0,38,6,4,0
2020,7,61268,"WO",45,10,0,0,0,3,1,7,0,51,2,2,2
2020,7,69839,"SK",29,10,2,0,2,5,0,7,0,35,8,8,1
2020,7,50030,"KT",44,10,3,0,0,4,1,6,0,49,5,4,0
2020,7,63464,"HH",35,10,2,0,1,6,1,6,0,44,4,3,2
2020,7,67266,"OB",42,11,1,1,0,3,0,7,0,45,3,2,0
2020,7,76858,"SK",24,11,3,0,0,4,0,4,0,28,6,6,0
2020,7,60768,"SK",27,11,3,0,2,4,0,5,0,32,12,12,1
2020,7,67119,"LG",26,11,4,0,1,2,0,1,0,28,8,6,0
2020,7,69159,"LG",49,11,0,0,0,3,0,10,0,53,4,4,1
2020,7,79358,"NC",33,11,5,0,1,2,0,6,0,35,5,5,0
2020,7,69962,"NC",43,11,1,0,2,2,0,12,0,47,6,6,2
2020,7,63512,"LT",31,11,1,0,3,1,0,5,0,33,6,6,1
2020,7,65241,"OB",44,12,2,1,0,7,3,8,0,54,6,6,0
2020,7,76350,"SK",38,12,3,0,3,4,0,7,0,42,10,10,0
2020,7,79825,"LG",27,12,4,0,3,0,0,2,0,28,10,9,1
2020,7,65117,"LG",27,12,1,0,1,3,0,1,0,31,7,7,1
2020,7,76650,"LG",39,12,1,0,1,4,0,9,0,44,6,6,1
2020,7,69620,"HT",38,12,1,0,1,3,1,11,0,45,7,7,3
2020,7,73117,"SS",38,12,1,0,1,2,0,4,0,41,6,6,1
2020,7,50705,"HH",52,12,4,0,0,5,0,20,0,59,6,4,2
2020,7,63765,"HH",48,12,2,0,1,2,1,10,0,53,6,5,2
2020,7,64760,"HH",32,12,3,0,3,3,2,7,0,37,8,8,0
2020,7,64565,"LT",38,12,1,0,0,3,0,3,0,42,4,4,1
2020,7,50234,"OB",47,13,5,0,0,4,0,9,0,52,7,7,1
2020,7,67863,"SK",35,13,0,2,1,7,0,7,0,42,8,8,0
2020,7,76118,"NC",42,13,0,0,2,4,1,11,0,47,9,9,0
2020,7,69439,"SS",59,13,3,0,1,8,0,12,0,67,7,7,0
2020,7,73211,"LT",28,13,3,0,1,3,0,0,0,33,8,7,2
2020,7,61643,"OB",49,14,3,1,2,6,1,15,0,56,8,8,0
2020,7,65398,"WO",35,14,1,0,5,0,0,7,0,35,6,6,0
2020,7,66145,"LG",35,14,3,0,3,2,0,8,0,38,8,8,1
2020,7,68701,"HH",43,14,2,0,3,8,2,12,0,54,6,6,1
2020,7,75421,"SS",43,15,1,0,1,4,1,5,0,48,7,7,0
2020,7,67703,"HH",43,15,2,0,2,6,0,10,0,50,8,7,1
2020,7,69748,"HH",42,15,1,0,2,3,0,5,0,46,7,7,1
2020,7,63292,"OB",41,16,4,0,2,10,0,4,0,52,10,10,1
2020,7,62360,"WO",57,16,3,0,1,7,0,14,0,65,9,8,1
2020,7,67603,"WO",41,16,1,0,3,5,0,7,0,46,16,15,0
2020,7,67045,"KT",54,16,3,0,3,6,0,6,0,60,11,11,0
2020,7,67263,"OB",65,17,5,0,1,4,0,10,0,69,5,5,0
2020,7,64861,"SK",78,17,2,0,1,10,0,17,0,88,10,10,0
2020,7,66920,"NC",74,17,3,0,4,12,0,8,0,88,11,11,2
2020,7,61365,"SS",53,17,4,0,1,4,2,12,0,60,8,4,1
2020,7,67391,"WO",56,18,6,0,0,6,0,6,0,62,7,4,0
2020,7,50912,"NC",73,18,6,0,1,11,1,16,0,86,11,11,1
2020,7,65516,"KT",65,18,5,0,1,10,0,15,1,76,9,9,1
2020,7,50640,"HT",84,18,1,1,1,10,0,22,0,95,8,7,1
2020,7,63628,"HT",57,18,3,0,1,2,0,5,0,61,5,5,2
2020,7,68419,"SS",83,19,3,0,1,7,3,18,1,94,13,9,1
2020,7,76355,"LT",71,19,4,0,4,5,1,7,0,79,16,13,2
2020,7,66859,"SK",55,20,3,0,2,6,3,5,0,65,14,13,1
2020,7,64021,"LT",79,20,3,0,3,10,1,18,0,92,9,7,2
2020,7,65933,"NC",99,21,3,0,4,5,0,34,0,105,6,6,1
2020,7,69032,"KT",102,21,4,1,2,10,0,27,0,114,8,8,2
2020,7,62754,"HT",74,22,4,0,3,8,0,15,1,87,15,13,5
2020,7,69446,"SS",61,22,3,0,2,6,1,10,0,68,12,9,0
2020,7,77318,"HH",125,22,2,0,3,15,1,36,0,143,11,11,2
2020,7,69045,"OB",119,23,2,0,0,3,0,34,0,124,5,4,2
2020,7,65048,"KT",70,23,2,0,3,8,0,10,0,79,13,13,1
2020,7,61101,"LG",103,24,10,0,1,11,1,20,0,115,9,9,0
2020,7,76455,"LG",69,24,5,0,2,6,1,7,0,78,13,12,2
2020,7,77446,"SS",84,24,3,2,6,7,1,16,0,94,16,15,2
2020,7,65764,"HH",99,24,3,0,1,13,2,22,1,116,8,8,2
2020,7,65769,"HH",89,24,4,0,5,17,2,22,0,109,17,17,1
2020,7,60841,"SK",104,25,4,0,2,16,1,25,0,121,12,12,0
2020,7,50558,"LT",138,25,3,0,2,7,2,42,0,148,9,5,1
2020,7,65320,"WO",73,26,3,0,5,9,3,9,0,86,20,20,1
2020,7,78148,"LG",75,26,5,0,5,5,1,16,0,81,17,12,0
2020,7,69940,"NC",115,26,3,0,1,12,3,27,0,131,9,8,1
2020,7,65616,"HT",84,26,3,0,3,7,1,11,0,94,13,13,2
2020,7,69539,"LT",75,27,5,0,3,5,2,11,0,82,20,17,0
2020,7,50404,"SS",125,30,3,1,2,6,0,22,0,132,10,8,1
2020,7,60263,"NC",102,31,3,0,6,12,1,18,1,117,19,19,2
2020,7,50524,"LT",85,31,4,1,3,4,0,12,0,90,17,13,1
2020,7,50636,"HT",134,32,6,0,1,7,0,20,0,141,9,9,0
2020,7,62363,"WO",97,33,7,1,2,8,4,21,1,109,25,25,0
2020,7,66291,"OB",115,34,1,1,2,12,0,16,0,128,18,15,1
2020,7,68135,"LG",116,34,4,1,3,9,1,23,1,128,17,12,2
2020,7,62869,"SK",139,35,8,0,5,10,2,23,0,151,20,18,0
2020,7,50835,"SK",110,35,7,0,3,17,2,10,0,131,21,21,2
2020,7,69744,"HH",123,36,8,1,4,6,3,13,0,133,26,24,1
2020,7,69343,"WO",122,37,4,2,3,3,1,15,1,126,14,13,0
2020,7,77637,"HT",100,38,9,1,5,10,1,23,0,117,24,23,6
2020,7,79229,"OB",116,40,9,0,4,7,1,11,0,126,24,22,2
2020,7,50040,"KT",152,43,7,1,3,10,2,34,0,167,15,15,3
2020,7,69103,"LG",146,44,7,0,3,6,2,33,0,158,14,14,4
2020,8,50360,"WO",0,0,0,0,0,0,1,0,0,1,1,1,0
2020,8,63638,"HT",3,0,0,0,0,0,0,1,0,3,0,0,0
2020,8,61411,"SS",3,0,0,0,0,0,0,0,0,3,0,0,0
2020,8,63960,"SS",3,0,0,0,0,0,0,1,0,3,0,0,0
2020,8,64554,"HH",5,0,0,0,0,2,1,0,0,8,2,2,0
2020,8,60559,"LT",9,0,0,0,0,2,0,1,0,11,0,0,0
2020,8,77591,"LT",6,0,0,0,0,0,0,3,0,6,0,0,0
2020,8,72447,"OB",3,1,0,0,0,1,0,1,0,4,0,0,0
2020,8,50397,"WO",2,1,0,0,0,1,0,1,0,3,1,1,0
2020,8,76858,"SK",8,1,0,0,0,0,0,0,0,8,0,0,0
2020,8,62920,"SS",3,1,0,0,0,2,0,1,0,5,1,1,0
2020,8,67443,"SS",4,1,0,0,1,3,1,0,0,8,3,3,0
2020,8,67703,"HH",15,1,0,0,0,0,1,6,0,16,0,0,0
2020,8,63961,"HH",6,1,0,0,1,0,0,0,0,6,1,1,0
2020,8,62611,"HH",3,1,0,0,0,0,0,1,0,3,0,0,0
2020,8,77263,"OB",17,2,0,0,0,1,1,5,0,19,0,0,0
2020,8,50262,"OB",9,2,0,0,0,3,0,2,0,12,1,1,0
2020,8,66018,"WO",8,2,0,0,1,0,0,2,0,8,2,2,0
2020,8,62937,"WO",4,2,2,0,0,2,0,0,0,7,2,2,1
2020,8,65398,"WO",8,2,0,0,0,1,0,0,0,10,1,1,1
2020,8,66801,"SK",5,2,0,0,1,1,0,0,0,6,2,2,0
2020,8,64896,"SK",14,2,0,0,1,2,0,5,0,16,1,1,0
2020,8,75138,"SK",8,2,0,0,1,2,0,2,0,10,2,2,0
2020,8,79617,"LG",3,2,1,0,0,1,0,1,0,4,3,3,0
2020,8,68900,"NC",5,2,0,0,0,0,0,0,0,5,0,0,0
2020,8,66663,"HT",13,2,1,0,1,0,0,1,0,13,1,1,0
2020,8,79764,"HH",8,2,1,0,0,1,0,0,0,9,1,1,0
2020,8,67246,"OB",9,3,1,0,0,0,0,2,0,9,1,1,0
2020,8,69205,"OB",9,3,1,0,0,1,0,2,0,10,1,1,0
2020,8,63248,"OB",6,3,1,0,0,2,0,0,0,8,2,2,0
2020,8,63894,"SK",27,3,0,1,0,13,2,3,0,42,5,5,0
2020,8,67119,"LG",36,3,1,0,0,4,0,14,0,40,1,1,0
2020,8,66145,"LG",14,3,0,2,0,1,0,3,0,15,1,1,0
2020,8,79140,"LG",22,3,2,0,0,2,0,7,0,24,4,4,0
2020,8,65639,"NC",25,3,0,0,1,8,1,6,0,34,1,1,0
2020,8,63914,"NC",13,3,1,0,0,2,1,1,0,16,2,2,0
2020,8,68910,"NC",6,3,0,0,1,1,1,2,0,8,2,2,0
2020,8,78352,"NC",22,3,1,0,0,2,0,6,0,25,0,0,1
2020,8,64615,"HT",4,3,0,0,0,0,2,0,0,6,5,5,0
2020,8,67828,"WO",8,4,2,0,0,2,0,4,0,11,3,3,1
2020,8,68341,"WO",25,4,1,0,0,3,0,10,0,28,0,0,0
2020,8,62056,"SK",14,4,0,0,0,2,1,2,1,17,2,2,0
2020,8,61295,"NC",8,4,1,0,0,0,0,1,0,9,3,2,1
2020,8,79358,"NC",6,4,0,0,1,0,0,1,0,6,4,4,0
2020,8,60339,"NC",18,4,0,0,0,0,1,5,0,19,0,0,0
2020,8,69974,"NC",14,4,1,0,0,3,0,1,0,17,4,4,0
2020,8,65060,"KT",26,4,2,0,0,6,1,3,0,35,2,0,2
2020,8,63492,"SS",5,4,2,0,0,1,0,0,0,6,6,5,0
2020,8,50449,"SS",12,4,1,0,1,2,0,0,0,14,3,3,0
2020,8,79293,"LT",18,4,0,0,2,0,0,2,0,18,2,2,0
2020,8,50298,"OB",15,5,0,0,1,0,0,1,0,15,2,1,0
2020,8,66305,"WO",10,5,1,0,0,2,0,2,0,12,3,3,0
2020,8,67365,"WO",20,5,1,0,0,0,0,3,0,20,0,0,0
2020,8,69360,"WO",23,5,0,1,0,3,1,3,0,27,2,2,0
2020,8,64893,"SK",17,5,1,0,1,1,1,3,0,19,2,1,0
2020,8,61895,"SK",24,5,0,1,0,7,0,7,0,33,5,4,2
2020,8,50109,"LG",15,5,1,0,0,1,0,0,0,16,1,1,0
2020,8,63991,"NC",18,5,2,0,1,1,2,2,0,22,7,6,1
2020,8,65937,"NC",6,5,0,0,1,0,0,0,0,6,3,3,0
2020,8,68043,"KT",22,5,0,0,0,4,0,8,0,26,2,2,0
2020,8,78517,"KT",27,5,0,0,0,5,0,2,0,32,1,1,0
2020,8,65696,"HT",11,5,1,0,1,4,1,2,0,16,4,4,0
2020,8,50464,"SS",12,5,1,0,0,3,0,1,0,16,5,5,1
2020,8,61457,"SS",10,5,0,0,0,1,0,2,0,12,2,2,1
2020,8,50556,"LT",29,5,3,0,0,5,0,8,0,35,3,3,1
2020,8,65241,"OB",33,6,0,0,2,11,1,8,0,45,5,5,0
2020,8,79847,"SK",26,6,1,0,0,1,0,11,0,27,5,5,0
2020,8,50859,"SK",22,6,1,0,0,1,0,4,1,23,3,0,0
2020,8,79825,"LG",17,6,0,0,2,0,1,6,0,18,4,4,0
2020,8,63959,"NC",20,6,0,0,0,5,1,3,0,28,3,3,2
2020,8,76757,"KT",39,6,2,0,0,7,1,5,0,47,1,1,0
2020,8,78247,"HT",31,6,2,0,2,12,0,10,0,43,5,5,0
2020,8,99445,"SS",16,6,1,0,2,2,0,5,0,18,7,4,0
2020,8,69703,"HH",15,6,2,0,1,3,1,0,0,19,8,4,0
2020,8,76225,"LT",37,6,1,0,0,4,2,11,0,44,3,3,1
2020,8,62528,"LT",34,6,3,0,0,1,0,9,0,35,1,1,0
2020,8,76355,"LT",17,6,1,0,0,3,2,3,0,23,4,4,1
2020,8,68200,"OB",53,7,2,0,1,8,1,13,0,62,4,4,0
2020,8,74359,"WO",24,7,0,0,2,0,0,3,0,25,4,4,1
2020,8,63348,"WO",27,7,1,0,0,4,0,5,0,32,1,1,1
2020,8,69159,"LG",43,7,0,0,0,3,3,14,0,50,2,2,1
2020,8,76118,"NC",23,7,1,0,0,1,0,5,0,26,4,4,2
2020,8,65057,"KT",22,7,1,0,0,2,0,4,0,24,2,1,0
2020,8,75340,"KT",22,7,1,0,0,2,0,1,0,25,2,2,1
2020,8,69646,"HT",31,7,2,0,0,8,1,7,0,40,3,3,0
2020,8,60146,"SS",40,7,0,1,1,3,0,10,0,43,2,2,0
2020,8,69745,"HH",26,7,2,0,2,7,0,6,0,34,7,6,1
2020,8,63464,"HH",35,7,0,0,1,3,1,8,0,40,3,0,1
2020,8,66557,"LT",25,7,0,0,0,4,0,3,0,29,3,3,0
2020,8,50203,"OB",26,8,1,0,0,0,2,7,0,28,1,1,0
2020,8,62951,"OB",22,8,1,0,1,5,0,3,0,27,5,5,0
2020,8,61643,"OB",36,8,2,0,1,5,3,8,0,47,6,6,3
2020,8,67954,"NC",17,8,0,0,4,1,1,0,0,19,6,6,0
2020,8,62655,"NC",33,8,2,0,0,1,0,5,0,34,1,1,0
2020,8,67045,"KT",13,8,1,0,0,4,1,2,0,18,8,8,0
2020,8,65665,"HT",28,8,3,0,1,2,0,7,0,30,4,4,0
2020,8,75421,"SS",36,8,4,0,0,4,0,9,0,41,2,2,1
2020,8,67421,"SS",39,8,0,0,2,9,1,10,0,52,9,9,3
